numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer
56009001,20140101000000,20140101000354,279.350000,284.450000,284.450000,284.350000,71,74,70,230,11.600000,240,12.500000,230,18.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100380,100900
56009001,20140101010000,20140101010359,279.450000,283.450000,284.550000,283.050000,76,76,68,230,10.900000,250,12.900000,240,19.700000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100330,100850
56009001,20140101020000,20140101020405,279.850000,284.350000,284.350000,283.550000,74,79,74,220,11.800000,220,11.900000,230,16.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100270,100790
56009001,20140101030000,20140101030309,279.650000,284.550000,284.650000,284.350000,72,73,70,220,12.400000,220,12.700000,230,17.500000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100200,100720
56009001,20140101040000,20140101040314,280.650000,284.550000,284.650000,284.350000,77,78,72,210,14.300000,210,14.600000,220,19.300000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100090,100610
56009001,20140101050000,20140101050319,280.850000,284.150000,284.550000,284.150000,80,81,76,210,13.400000,210,14.700000,200,18.900000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99980,100500
56009001,20140101060000,20140101060324,281.850000,284.450000,284.750000,284.150000,84,84,79,200,13.900000,200,15.500000,190,19.500000,0.000000,mq,mq,mq,mq,15000,mq,mq,8,mq,mq,99820,100330
56009001,20140101070000,20140101070329,282.550000,284.250000,284.750000,284.250000,89,89,83,200,16.400000,200,16.600000,200,22.200000,0.400000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99700,100210
56009001,20140101080000,20140101080333,282.650000,284.050000,284.250000,283.950000,91,91,89,210,15.300000,210,18.200000,210,22.600000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99620,100130
56009001,20140101090000,20140101090338,282.950000,284.350000,284.350000,284.050000,91,91,91,210,17.400000,210,18.500000,210,25.200000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99530,100040
56009001,20140101100000,20140101100343,283.150000,284.550000,284.650000,284.250000,91,92,91,210,20.500000,210,21.100000,210,27.800000,0.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99440,99950
56009001,20140101110000,20140101110349,282.950000,284.550000,284.650000,284.450000,90,91,90,200,21.000000,210,21.200000,210,29.400000,-0.100000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99370,99880
56009001,20140101120000,20140101120353,282.750000,284.350000,284.650000,284.350000,90,90,89,200,21.000000,200,22.100000,200,30.000000,0.600000,mq,mq,mq,mq,5000,mq,mq,8,mq,mq,99190,99700
56009001,20140101130000,20140101130359,283.150000,284.450000,284.450000,284.250000,92,92,90,200,21.200000,200,22.200000,190,29.400000,2.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98980,99490
56009001,20140101140000,20140101140304,283.250000,285.050000,285.150000,284.350000,89,93,89,210,22.000000,210,22.400000,210,31.100000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,98850,99360
56009001,20140101150000,20140101150409,283.750000,285.350000,285.350000,284.950000,90,93,88,210,23.800000,210,23.800000,220,30.400000,0.800000,mq,mq,mq,mq,4000,mq,mq,8,mq,mq,98740,99250
