numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer,
56137001,20140101000000,20140101000354,278.950000,281.650000,281.750000,281.450000,83,83,81,220,3.700000,210,4.300000,230,7.900000,0.000000,mq,mq,mq,mq,13430,mq,mq,mq,mq,mq,99270,100860,
56137001,20140101010000,20140101010359,279.150000,281.850000,281.850000,281.450000,83,85,83,200,3.900000,210,4.000000,220,8.500000,0.000000,mq,mq,mq,mq,13540,mq,mq,mq,mq,mq,99230,100820,
56137001,20140101020000,20140101020405,278.150000,281.950000,282.050000,281.850000,77,83,77,210,4.700000,210,4.700000,220,9.600000,0.000000,mq,mq,mq,mq,16590,mq,mq,mq,mq,mq,99180,100770,
56137001,20140101030000,20140101030309,279.350000,281.750000,281.950000,281.550000,85,85,77,190,3.700000,210,4.600000,220,8.100000,0.000000,mq,mq,mq,mq,13990,mq,mq,mq,mq,mq,99130,100720,
56137001,20140101040000,20140101040314,278.750000,282.350000,282.350000,281.750000,78,86,78,200,4.700000,200,4.900000,190,8.300000,0.000000,mq,mq,mq,mq,15630,mq,mq,mq,mq,mq,99010,100590,
56137001,20140101050000,20140101050319,279.650000,282.750000,282.850000,282.350000,81,81,78,200,5.700000,200,6.100000,210,11.100000,0.000000,mq,mq,mq,mq,15640,mq,mq,mq,mq,mq,98900,100480,
56137001,20140101060000,20140101060324,280.150000,282.550000,282.750000,282.550000,85,85,81,190,6.900000,190,6.900000,180,12.500000,0.000000,mq,mq,mq,mq,14760,mq,mq,mq,mq,mq,98770,100350,
56137001,20140101070000,20140101070329,281.450000,282.650000,282.750000,282.550000,92,92,85,190,8.000000,180,8.400000,170,14.900000,0.600000,mq,mq,mq,mq,7850,mq,mq,mq,mq,mq,98620,100200,
56137001,20140101080000,20140101080333,282.050000,282.850000,282.850000,282.650000,95,95,92,200,7.900000,190,9.000000,180,16.300000,3.400000,mq,mq,mq,mq,4510,mq,mq,mq,mq,mq,98560,100130,
56137001,20140101090000,20140101090338,282.250000,282.850000,282.850000,282.750000,96,96,94,190,8.400000,190,9.200000,180,19.100000,3.100000,mq,mq,mq,mq,4730,mq,mq,mq,mq,mq,98450,100020,
56137001,20140101100000,20140101100343,282.550000,283.150000,283.150000,282.850000,96,96,95,190,9.600000,190,9.600000,200,20.300000,2.800000,mq,mq,mq,mq,4200,mq,mq,mq,mq,mq,98390,99960,
