numer_sta,date,date_insert,td,t,tx,tn,u,ux,un,dd,ff,dxy,fxy,dxi,fxi,rr1,t_10,t_20,t_50,t_100,vv,etat_sol,sss,n,insolh,ray_glo01,pres,pmer,
29163003,20140101000000,20140101000555,278.950000,280.850000,281.250000,280.850000,88,88,84,200,5.700000,210,7.300000,210,11.600000,0.600000,280.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101010000,20140101010559,279.250000,280.950000,280.950000,280.650000,89,90,88,200,6.600000,200,7.300000,210,11.700000,0.000000,280.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101020000,20140101020605,278.950000,280.950000,281.150000,280.850000,87,90,87,200,5.400000,210,7.000000,200,12.200000,0.000000,280.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101030000,20140101030609,278.750000,281.150000,281.150000,280.950000,85,87,85,190,5.700000,190,6.100000,190,10.000000,0.000000,280.250000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101040000,20140101040614,278.950000,281.650000,281.650000,281.150000,83,85,83,190,6.400000,190,6.900000,180,12.100000,0.000000,280.250000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101050000,20140101050519,279.650000,281.550000,281.850000,281.550000,88,88,82,200,8.100000,200,9.500000,190,17.900000,0.400000,280.250000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101060000,20140101060524,279.750000,281.150000,281.450000,281.050000,91,91,89,180,7.400000,190,9.200000,210,16.600000,1.400000,280.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101070000,20140101070529,280.650000,281.850000,281.850000,281.150000,92,93,91,190,10.100000,190,11.400000,190,20.400000,2.200000,280.450000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101080000,20140101080533,281.750000,282.650000,282.650000,281.850000,94,94,92,200,9.200000,190,10.400000,190,19.300000,3.500000,280.550000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101090000,20140101090538,282.450000,283.350000,283.450000,282.650000,94,94,94,190,11.000000,190,11.500000,200,19.700000,4.000000,280.650000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101100000,20140101100543,283.050000,284.150000,284.150000,283.450000,93,94,93,200,12.800000,200,12.800000,200,22.400000,3.600000,280.850000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101110000,20140101110548,282.850000,284.250000,284.450000,284.150000,91,93,91,210,13.600000,200,15.300000,210,26.100000,1.800000,281.050000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101120000,20140101120554,283.050000,284.150000,284.350000,284.150000,93,93,91,200,10.400000,210,13.700000,190,21.100000,3.500000,281.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
29163003,20140101130000,20140101130559,282.750000,283.650000,284.150000,283.650000,94,94,93,210,8.600000,200,11.800000,210,21.400000,8.100000,281.550000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
